0.4 0.1; 135.0 45.0 30.0 30.0; 0.1 0.1 0.1 0.1
0.4 0.1; 134.95078953 45.04780633 29.97941725 30.02598439; 0.10011219 0.10004085 0.1000213 0.10002029
0.4 0.1; 134.90157906 45.09561266 29.95883449 30.05196878; 0.10022438 0.10008169 0.1000426 0.10004058
0.4 0.1; 134.85236859 45.143419 29.93825174 30.07795317; 0.10033656 0.10012254 0.1000639 0.10006087
0.4 0.1; 134.80315812 45.19122533 29.91766898 30.10393755; 0.10044875 0.10016338 0.1000852 0.10008116
0.4 0.1; 134.75394765 45.23903166 29.89708623 30.12992194; 0.10056094 0.10020423 0.1001065 0.10010145
0.4 0.1; 134.70473718 45.28683799 29.87650347 30.15590633; 0.10067313 0.10024507 0.1001278 0.10012175
0.4 0.1; 134.65552671 45.33464433 29.85592072 30.18189072; 0.10078532 0.10028592 0.1001491 0.10014204
0.4 0.1; 134.60631624 45.38245066 29.83533796 30.20787511; 0.10089751 0.10032676 0.10017041 0.10016233
0.4 0.1; 134.55710577 45.43025699 29.81475521 30.2338595; 0.10100969 0.10036761 0.10019171 0.10018262
0.4 0.1; 134.5078953 45.47806332 29.79417245 30.25984389; 0.10112188 0.10040845 0.10021301 0.10020291
0.4 0.1; 134.45868483 45.52586966 29.7735897 30.28582827; 0.10123407 0.1004493 0.10023431 0.1002232
0.4 0.1; 134.40947436 45.57367599 29.75300695 30.31181266; 0.10134626 0.10049014 0.10025561 0.10024349
0.4 0.1; 134.36026389 45.62148232 29.73242419 30.33779705; 0.10145845 0.10053099 0.10027691 0.10026378
0.4 0.1; 134.31105342 45.66928865 29.71184144 30.36378144; 0.10157064 0.10057183 0.10029821 0.10028407
0.4 0.1; 134.26184295 45.71709498 29.69125868 30.38976583; 0.10168282 0.10061268 0.10031951 0.10030436
0.4 0.1; 134.21263248 45.76490132 29.67067593 30.41575022; 0.10179501 0.10065353 0.10034081 0.10032465
0.4 0.1; 134.16342201 45.81270765 29.65009317 30.4417346; 0.1019072 0.10069437 0.10036211 0.10034495
0.4 0.1; 134.11421154 45.86051398 29.62951042 30.46771899; 0.10201939 0.10073522 0.10038341 0.10036524
0.4 0.1; 134.06500107 45.90832031 29.60892766 30.49370338; 0.10213158 0.10077606 0.10040471 0.10038553
0.4 0.1; 134.0157906 45.95612665 29.58834491 30.51968777; 0.10224377 0.10081691 0.10042601 0.10040582
0.4 0.1; 133.96658013 46.00393298 29.56776215 30.54567216; 0.10235595 0.10085775 0.10044731 0.10042611
0.4 0.1; 133.91736966 46.05173931 29.5471794 30.57165655; 0.10246814 0.1008986 0.10046861 0.1004464
0.4 0.1; 133.86815919 46.09954564 29.52659665 30.59764094; 0.10258033 0.10093944 0.10048991 0.10046669
0.4 0.1; 133.81894872 46.14735198 29.50601389 30.62362532; 0.10269252 0.10098029 0.10051122 0.10048698
